AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
Olympic,BURGLARY FROM VEHICLE,25,F,A,PARKING LOT,undefined,Invest Cont,16,Saturday,1,Afternoon,0,24.0,9,0,6,-0.8660254037844385,-0.5000000000000004
West Valley,BATTERY - SIMPLE ASSAULT,72,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,17,Tuesday,0,Afternoon,0,0.0,2,0,7,-0.9659258262890683,-0.25881904510252063
77th Street,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",20,F,B,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Juv Arrest,21,Friday,0,Evening,0,24.0,2,0,0,-0.7071067811865477,0.7071067811865474
Topanga,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,W,PARKING UNDERGROUND/BUILDING,undefined,Invest Cont,15,Tuesday,0,Afternoon,0,48.0,6,0,16,-0.7071067811865471,-0.7071067811865479
Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,B,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,13,Wednesday,0,Afternoon,0,0.0,4,0,0,-0.2588190451025208,-0.9659258262890683
Wilshire,BURGLARY FROM VEHICLE,38,F,A,STREET,undefined,Invest Cont,11,Sunday,1,Morning,0,0.0,12,0,12,0.258819045102521,-0.9659258262890682
Hollywood,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,F,O,GARAGE/CARPORT,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,12,Thursday,0,Afternoon,0,0.0,12,0,6,1.2246467991473532e-16,-1.0
N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),36,F,B,OTHER RESIDENCE,undefined,Invest Cont,14,Tuesday,0,Afternoon,0,312.0,10,0,8,-0.4999999999999997,-0.8660254037844388
Devonshire,"BUNCO, GRAND THEFT",80,M,O,SINGLE FAMILY DWELLING,undefined,Invest Cont,10,Tuesday,0,Morning,0,72.0,8,0,7,0.49999999999999994,-0.8660254037844387
Hollywood,PIMPING,31,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,0,Sunday,1,Night,1,456.0,3,1,6,0.0,1.0
Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,14,Monday,0,Afternoon,0,48.0,2,0,14,-0.4999999999999997,-0.8660254037844388
Foothill,CRIMINAL THREATS - NO WEAPON DISPLAYED,30,F,H,"VEHICLE, PASSENGER/TRUCK",VERBAL THREAT,Invest Cont,12,Sunday,1,Afternoon,0,24.0,4,0,8,1.2246467991473532e-16,-1.0
Hollywood,BURGLARY FROM VEHICLE,51,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,6,Friday,0,Morning,0,48.0,11,0,6,1.0,6.123233995736766e-17
Devonshire,BATTERY - SIMPLE ASSAULT,21,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,0,Wednesday,0,Night,1,0.0,8,0,15,0.0,1.0
Northeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,M,H,STREET,ROCK/THROWN OBJECT,Adult Arrest,11,Wednesday,0,Morning,0,24.0,4,0,14,0.258819045102521,-0.9659258262890682
